127.0.0.1 - root [25/Oct/2019:16:34:31 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:34:31 -0300] "GET /manager/text/stop?path=/Opportunity HTTP/1.1" 200 68
127.0.0.1 - root [25/Oct/2019:16:34:32 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
127.0.0.1 - - [25/Oct/2019:16:34:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:34:42 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:34:42 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:34:42 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:34:42 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:34:42 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:34:42 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:34:44 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - root [25/Oct/2019:16:34:46 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext68721135480385931.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:16:34:46 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:34:47 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:34:47 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:36:20 -0300] "POST /Opportunity/Login HTTP/1.1" 500 2356
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:36:20 -0300] "GET /Opportunity/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:36:20 -0300] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:36:23 -0300] "GET /Opportunity/index.jsp HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:36:27 -0300] "POST /Opportunity/Login HTTP/1.1" 500 2356
127.0.0.1 - - [25/Oct/2019:16:37:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:37:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:37:39 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:37:40 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 198
127.0.0.1 - - [25/Oct/2019:16:38:02 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:38:02 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:38:02 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:38:03 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - - [25/Oct/2019:16:43:16 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:43:16 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:43:16 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:43:16 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:43:16 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - root [25/Oct/2019:16:43:16 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - root [25/Oct/2019:16:43:18 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext8337151684386286773.xml&path=/Opportunity HTTP/1.1" 200 69
